customer_id,signup_date,churn_date,region,age,plan,service,contract,payment_method,monthly_charges,support_tickets,avg_satisfaction,data_usage_gb,add_ons,late_payments,churned
C100000,2023-11-08,2024-03-09,West,26,Basic,5G,Month-to-Month,Net Banking,509,3,2.6,30.5,0,0,1
C100001,2024-07-26,,South,31,Standard,5G,Month-to-Month,Auto-debit,1217,0,1.7,136.0,2,0,0
C100002,2023-04-30,2025-06-22,West,44,Standard,Fiber,Month-to-Month,UPI,936,2,3.1,77.6,0,1,1
C100003,2024-06-15,,West,38,Basic,Fiber,2 Year,UPI,447,2,3.3,92.1,0,1,0
C100004,2024-09-08,,North,32,Basic,Fiber,Month-to-Month,Credit Card,613,1,3.6,59.6,1,0,0
C100005,2023-01-31,,Central,27,Standard,Fiber,Month-to-Month,Credit Card,1132,3,2.9,101.1,3,0,0
C100006,2025-05-23,2025-10-18,West,26,Standard,Fiber,Month-to-Month,Net Banking,1172,0,3.4,83.3,3,0,1
C100007,2024-12-27,,West,36,Standard,Broadband,2 Year,Credit Card,1123,2,2.7,51.4,3,0,0
C100008,2025-06-09,,North,62,Standard,Fiber,Month-to-Month,Auto-debit,983,1,2.8,38.1,1,0,0
C100009,2024-02-16,,South,45,Standard,Fiber,Month-to-Month,UPI,1178,2,3.6,81.6,3,1,0
C100010,2022-03-15,,South,22,Basic,5G,Month-to-Month,Credit Card,876,2,4.1,42.2,4,0,0
C100011,2024-03-22,2024-10-16,Central,46,Standard,5G,Month-to-Month,Auto-debit,1264,2,2.4,270.4,3,1,1
C100012,2022-02-01,2024-10-12,East,29,Basic,Fiber,2 Year,UPI,781,4,2.8,64.3,3,0,1
C100013,2025-11-10,2025-11-30,West,38,Standard,Fiber,1 Year,Credit Card,1351,2,,48.3,4,0,1
C100014,2022-06-07,2023-08-31,South,31,Basic,Broadband,Month-to-Month,UPI,700,6,2.2,42.4,3,1,1
C100015,2023-02-01,,South,62,Basic,Fiber,2 Year,UPI,897,1,4.1,36.8,4,0,0
C100016,2025-09-28,,East,24,Standard,5G,Month-to-Month,Credit Card,1042,4,3.6,72.3,1,1,0
C100017,2023-07-17,,North,42,Standard,Broadband,2 Year,UPI,901,4,3.1,38.3,1,0,0
C100018,2024-05-04,,West,30,Standard,Fiber,Month-to-Month,Net Banking,973,2,3.0,116.0,0,0,0
C100019,2024-03-31,,East,47,Standard,5G,Month-to-Month,Net Banking,1038,1,4.5,60.5,0,2,0
C100020,2023-07-09,,West,42,Premium,Fiber,2 Year,Auto-debit,1864,2,3.3,163.6,2,0,0
C100021,2024-05-30,,South,53,Premium,Fiber,2 Year,Auto-debit,1981,0,3.8,87.2,4,0,0
C100022,2024-01-25,,Central,47,Premium,Fiber,1 Year,UPI,1745,1,4.1,96.7,1,0,0
C100023,2025-02-03,,Central,30,Standard,Broadband,1 Year,UPI,1079,3,2.8,99.2,3,0,0
C100024,2023-02-19,,West,73,Standard,Fiber,2 Year,Auto-debit,943,4,2.6,26.2,0,1,0
C100025,2025-07-21,,North,45,Standard,Fiber,1 Year,UPI,1367,1,3.3,120.7,4,0,0
C100026,2022-10-26,,East,31,Standard,Broadband,Month-to-Month,UPI,965,1,3.4,153.7,2,0,0
C100027,2024-06-05,,North,40,Basic,Fiber,Month-to-Month,UPI,583,2,3.4,91.3,2,0,0
C100028,2023-01-07,2025-11-19,North,46,Standard,Broadband,1 Year,Net Banking,972,2,1.9,51.9,1,0,1
C100029,2024-02-13,,West,45,Basic,5G,1 Year,UPI,914,5,2.5,51.4,4,1,0
C100030,2022-04-29,,West,44,Basic,5G,2 Year,UPI,692,1,2.3,35.4,2,1,0
C100031,2025-06-27,2025-09-27,Central,50,Premium,Broadband,Month-to-Month,Credit Card,1393,5,2.5,56.1,0,0,1
C100032,2022-05-05,,South,48,Basic,5G,Month-to-Month,Auto-debit,613,3,3.3,46.2,2,0,0
C100033,2024-06-06,,South,28,Standard,Fiber,Month-to-Month,UPI,1125,2,3.1,35.6,2,2,0
C100034,2024-04-06,,East,63,Standard,Broadband,2 Year,Net Banking,1075,2,3.8,99.5,3,1,0
C100035,2024-05-22,,North,62,Basic,Broadband,Month-to-Month,Credit Card,599,1,3.8,66.6,2,0,0
C100036,2025-09-08,,North,48,Premium,Broadband,2 Year,Credit Card,1499,3,1.7,224.9,1,0,0
C100037,2023-01-10,,East,38,Basic,5G,Month-to-Month,UPI,364,2,4.1,57.1,0,0,0
C100038,2022-01-19,,South,39,Premium,5G,Month-to-Month,UPI,2164,0,4.2,95.9,4,1,0
C100039,2023-12-13,2024-11-19,West,34,Standard,5G,2 Year,UPI,1006,3,2.7,67.1,0,2,1
C100040,2025-08-21,2025-12-30,South,36,Basic,Fiber,Month-to-Month,Auto-debit,571,3,2.7,47.0,1,0,1
C100041,2025-01-25,2025-04-12,West,18,Basic,5G,2 Year,UPI,491,1,2.1,91.9,0,1,1
C100042,2022-10-17,2024-11-05,West,56,Basic,5G,Month-to-Month,Auto-debit,600,1,3.7,92.4,1,0,1
C100043,2025-06-04,2025-12-29,South,52,Basic,5G,Month-to-Month,UPI,506,2,3.8,42.4,0,0,1
C100044,2023-07-18,2025-11-05,West,18,Basic,Fiber,1 Year,UPI,569,0,3.3,72.3,1,0,1
C100045,2023-09-12,,West,49,Premium,5G,2 Year,Net Banking,2164,0,3.4,91.1,4,2,0
C100046,2024-12-14,,South,38,Basic,5G,Month-to-Month,Auto-debit,609,1,3.6,55.0,1,0,0
C100047,2024-05-10,2025-08-13,South,36,Premium,5G,Month-to-Month,UPI,2219,2,4.3,99.0,4,0,1
C100048,2025-05-30,,West,44,Basic,Broadband,1 Year,UPI,667,1,4.3,50.0,3,1,0
C100049,2025-10-15,,North,18,Premium,5G,2 Year,Net Banking,2130,1,4.3,78.2,4,1,0
C100050,2022-10-27,,North,38,Basic,Fiber,2 Year,UPI,824,1,5.0,21.7,3,4,0
C100051,2025-02-07,,North,39,Standard,Fiber,2 Year,Net Banking,1309,3,3.7,39.5,4,1,0
C100052,2023-06-08,,West,39,Standard,5G,Month-to-Month,Auto-debit,1234,3,3.9,98.6,2,0,0
C100053,2023-06-07,,West,22,Basic,5G,1 Year,UPI,900,3,3.1,25.3,4,1,0
C100054,2022-12-02,,West,43,Premium,Broadband,2 Year,Auto-debit,1390,4,2.8,99.4,0,1,0
C100055,2023-07-31,,West,51,Basic,Fiber,2 Year,UPI,894,0,4.6,,4,0,0
C100056,2022-06-09,2023-10-24,South,43,Standard,Fiber,2 Year,Auto-debit,940,2,2.6,129.0,0,0,1
C100057,2024-01-07,,East,35,Standard,Fiber,2 Year,Auto-debit,857,1,3.8,45.2,0,1,0
C100058,2025-10-30,,North,70,Standard,5G,2 Year,Net Banking,1303,0,3.4,22.2,3,1,0
C100059,2023-11-18,2024-04-30,North,27,Basic,Broadband,Month-to-Month,Auto-debit,458,5,2.8,29.6,1,3,1
C100060,2025-08-18,,West,47,Basic,Broadband,Month-to-Month,Auto-debit,450,1,3.7,48.9,0,1,0
C100061,2024-05-23,,East,41,Basic,5G,2 Year,UPI,965,1,3.7,61.9,4,0,0
C100062,2025-11-15,,East,62,Basic,Broadband,Month-to-Month,UPI,672,2,3.3,24.5,2,0,0
C100063,2025-06-03,,West,43,Basic,Fiber,Month-to-Month,UPI,671,1,3.9,18.3,2,2,0
C100064,2024-03-23,2024-06-29,East,45,Premium,5G,Month-to-Month,Credit Card,1829,1,4.2,74.9,1,0,1
C100065,2022-01-19,,East,44,Standard,Broadband,1 Year,Net Banking,1109,0,2.8,56.8,3,1,0
